,Game,Game,Rece,Rece,Rece
Player,G,GS,Rec,Yds,TD
,,,,,
Nyheim Hines,32,6,107,745,2
Nick Boyle,64,41,106,934,2
C.J. Uzomah,61,43,106,1011,7
Devontae Booker,61,6,105,872,1
Rex Burkhead,73,9,105,952,5
Keelan Cole,48,18,104,1600,7
Dalvin Cook,29,28,104,914,2
Mike Williams,41,21,103,1760,12
Darren Fells,86,62,102,1171,17
Michael Gallup,30,20,99,1614,8
Virgil Green,131,69,99,1095,6
Mark Andrews,31,7,98,1404,13
Levine Toilolo,108,67,97,996,8
Bennie Fowler,63,12,95,1090,6
Justin Hardy,73,6,95,946,9
Breshad Perriman,51,10,95,1561,11
O.J. Howard,38,36,94,1456,12
David Njoku,36,20,93,1066,9
Tajae Sharpe,47,29,92,1167,8
Dallas Goedert,31,17,91,941,9
Logan Paulsen,120,65,91,907,7
Jamaal Williams,46,17,91,725,7
Geronimo Allison,46,14,89,1045,6
James Conner,37,22,89,748,4
Kendrick Bourne,43,8,88,1102,9
DeAndre Washington,55,5,88,613,1
DJ Chark,26,14,87,1182,8
Gerald Everett,45,4,86,972,7
Cameron Meredith,31,11,86,1122,5
Robert Turbin,82,4,86,688,3
Anthony Miller,31,11,85,1079,9
JJ Nelson,58,16,85,1475,11
Aaron Jones,40,28,84,702,4
Garrett Celek,91,31,82,1104,12
Jordan Howard,57,48,82,637,2
Josh Doctson,34,26,81,1100,8
Alex Erickson,64,12,81,947,1
Josh Bellamy,82,14,78,1019,5
Maxx Williams,58,31,78,699,4
Dwayne Harris,106,12,77,874,8
Rashard Higgins,54,6,76,1016,7
Luke Stocker,114,77,76,630,5
Demarcus Robinson,64,23,75,949,8
Clive Walford,52,14,74,825,6
Ameer Abdullah,58,22,73,518,4
Mike Gesicki,32,12,73,772,5
Tyler Kroft,62,38,73,732,9
Jaylen Samuels,28,7,73,504,4
Jonnu Smith,45,39,73,854,8
Demetrius Harris,86,39,72,754,9
Cody Latimer,66,15,70,935,6
Phillip Lindsay,31,24,70,437,1
J.D. McKissic,35,4,70,515,3
Alfred Blue,72,16,69,470,2
Trent Taylor,29,1,69,645,3
Zach Pascal,32,17,68,875,7
Matt Breida,43,18,67,561,4
T.J. Jones,45,9,67,852,5
Mike Davis,47,10,66,430,1
Alfred Morris,105,70,65,494,0
Anthony Sherman,140,34,65,547,3
De'Anthony Thomas,69,6,65,509,4
Laquon Treadwell,53,16,65,701,2
Chris Carson,33,32,64,488,3
Marquez Valdes-Scantling,32,20,64,1033,4
Spencer Ware,43,19,64,698,2
Jay Ajayi,45,23,63,419,1
Jeff Heuerman,51,29,63,678,5
Corey Coleman,27,19,61,789,5
Josh Reynolds,48,11,61,832,7
Nick Vannett,55,22,61,591,4
Seth Devalve,53,16,60,736,4
Charles Johnson,39,17,60,834,2
James O'Shaughnessy,58,21,60,602,3
Ricky Seals-Jones,39,9,60,773,8
Russell Shepard,87,9,60,847,6
Lee Smith,123,71,60,423,8
James Washington,29,16,60,952,4
Brandon Bolden,114,8,59,497,4
Wayne Gallman,38,5,59,384,2
Diontae Johnson,16,12,59,680,5
DaeSean Hamilton,30,7,58,540,3
Blake Jarwin,33,11,58,672,6
