,,Game,Game,Def,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb,,Tack,Tack,Tack,Tack,
Player,Pos,G,GS,Int,IntYds,IntTD,IntLong,PD,FF,Fmb,FR,FmbYds,FumbTD,Sacks,Comb,Solo,Ast,TFL,Sfty
,,,,,,,,,,,,,,,,,,,
Leon Jacobs,lb,14,7,0,0,0,0,1,0,0,1,0,0,2,42,31,11,4,0
Jason McCourty,CB,12,10,1,16,0,16,6,0,0,0,0,0,0,40,31,9,0,0
Brennan Scarlett,LB,15,10,0,0,0,0,1,2,0,0,0,0,3.5,51,31,20,3,0
Montez Sweat,LB,16,16,0,0,0,0,2,2,0,0,0,0,7,50,31,19,8,0
Jermaine Whitehead,S,8,8,1,0,0,0,2,1,0,0,0,0,0,41,31,10,1,0
Mackensie Alexander,cb,13,4,1,0,0,0,5,0,0,1,0,0,0.5,38,30,8,1,0
Ryan Anderson,lb,16,4,0,0,0,0,1,5,0,2,0,0,4,44,30,14,4,0
Austin Calitro,lb,13,4,0,0,0,0,1,0,0,0,0,0,1,40,30,10,4,0
Brandon Facyson,cb,16,4,0,0,0,0,1,0,0,1,0,0,0,41,30,11,2,0
Davontae Harris,cb,16,6,0,0,0,0,3,0,0,0,0,0,0,35,30,5,0,0
Will Harris,s,16,6,0,0,0,0,3,0,0,0,0,0,1,43,30,13,1,0
Malik Hooker,S,13,13,2,39,0,26,3,0,0,1,3,0,0,51,30,21,1,0
DeMarcus Lawrence,DE,16,16,0,0,0,0,2,2,0,2,0,0,5,45,30,15,10,0
Julian Love,cb,15,5,1,30,0,30,3,1,0,0,0,0,0,37,30,7,5,0
George Odum,s,16,1,0,0,0,0,0,2,0,1,0,0,0,37,30,7,0,0
Danny Shelton,DL,16,14,0,0,0,0,0,1,0,0,0,0,3,61,30,31,2,0
Roderic Teamer,s,7,6,1,3,0,3,2,0,0,0,0,0,1,40,30,10,1,0
B.W. Webb,CB,15,12,1,1,0,1,7,0,0,0,0,0,0,37,30,7,1,0
Christian Wilkins,DT,16,14,0,0,0,0,2,0,1,1,0,0,2,56,30,26,3,0
Quincy Williams,LB,11,8,0,0,0,0,0,0,0,0,0,0,0,48,30,18,2,0
Ja'Whaun Bentley,lb,16,2,0,0,0,0,1,0,0,0,0,0,0,44,29,15,2,0
Aaron Donald,DT,16,16,0,0,0,0,2,2,0,1,0,0,12.5,48,29,19,20,1
Damon Harrison,DT,15,15,0,0,0,0,3,0,0,0,0,0,2,49,29,20,3,0
J.C. Jackson,db,16,6,5,39,0,19,10,0,0,0,0,0,0,36,29,7,0,0
Christian Jones,LB,13,13,0,0,0,0,4,0,0,1,0,0,2,51,29,22,2,0
Jalen Mills,DB,9,9,1,0,0,0,7,0,0,0,0,0,0,41,29,12,0,0
Tramon Williams,cb,16,7,2,-4,0,0,8,1,0,2,0,0,0,39,29,10,1,0
Vic Beasley,LB,16,15,0,0,0,0,2,2,0,0,0,0,8,42,28,14,8,0
Preston Brown,NA,10,8,0,0,0,0,0,1,0,1,0,0,0,55,28,27,0,0
Johnathan Hankins,DT,16,16,0,0,0,0,1,0,0,0,0,0,1.5,50,28,22,7,0
Shelby Harris,DE,16,16,0,0,0,0,9,1,0,0,0,0,6,49,28,21,8,0
Casey Hayward,CB,16,16,2,37,0,37,8,0,0,0,0,0,0,32,28,4,0,0
Siran Neal,s,15,1,0,0,0,0,0,1,0,0,0,0,0,36,28,8,2,0
Mike Purcell,dl,13,7,0,0,0,0,0,0,0,0,0,0,0,48,28,20,8,0
D.J. Reader,DE,15,15,0,0,0,0,0,0,0,0,0,0,2.5,52,28,24,6,0
Sheldrick Redwine,s,12,5,0,0,0,0,2,0,0,0,0,0,0,42,28,14,0,0
Jalen Reeves-Maybin,lb,16,3,0,0,0,0,0,1,0,1,0,0,0,37,28,9,1,0
John Simon,DE,16,12,1,6,0,6,4,1,0,0,0,0,4,44,28,16,3,0
Jimmy Smith,cb,9,5,1,7,0,7,6,0,0,0,0,0,1,30,28,2,1,0
M.J. Stewart,db,10,1,0,0,0,0,2,0,0,0,0,0,0,35,28,7,0,0
Vince Williams,LB,14,8,0,0,0,0,1,0,0,1,0,0,2.5,55,28,27,4,0
Vince Biegel,LB,15,10,1,7,0,7,1,0,0,0,0,0,2.5,59,27,32,7,0
Blake Cashman,lb,7,5,0,0,0,0,1,0,0,1,0,0,0.5,40,27,13,3,0
Marqui Christian,s,16,1,0,0,0,0,2,0,0,0,0,0,0,36,27,9,1,0
Frank Clark,DE,14,11,1,5,0,5,4,3,0,1,0,0,8,37,27,10,12,0
Brandon Copeland,lb,12,3,0,0,0,0,2,1,0,0,0,0,1.5,42,27,15,5,0
Kamalei Correa,lb,16,5,0,0,0,0,2,0,0,1,0,0,5,37,27,10,6,0
Quandre Diggs,NA,10,10,3,99,1,55,3,1,0,1,0,0,0,41,27,14,0,0
Leonard Floyd,LB,16,16,0,0,0,0,1,0,0,0,0,0,3,40,27,13,3,0
Dre Kirkpatrick,cb,6,6,0,0,0,0,4,0,0,1,11,0,1,33,27,6,2,0
Clay Matthews,LB,13,13,0,0,0,0,3,2,0,0,0,0,8,37,27,10,9,0
Kevin Pierre-Louis,lb,14,3,1,2,0,2,3,0,0,0,0,0,0,37,27,10,2,0
Curtis Riley,s,16,3,0,0,0,0,1,1,0,0,0,0,0,34,27,7,2,0
Chandon Sullivan,NA,16,0,1,7,0,7,6,1,0,0,0,0,0,30,27,3,0,0
Morgan Burnett,s,8,8,1,43,0,43,2,0,0,0,0,0,2,41,26,15,4,0
Juston Burris,DB,14,9,2,42,0,27,7,1,0,0,0,0,1,32,26,6,2,0
Jurrell Casey,DT,14,14,0,0,0,0,0,1,0,2,0,0,5,44,26,18,5,0
William Compton,lb,9,4,0,0,0,0,0,0,0,0,0,0,0,41,26,15,0,0
Fletcher Cox,DT,16,16,0,0,0,0,2,3,0,1,1,0,3.5,40,26,14,5,0
Tyeler Davison,DT,16,12,0,0,0,0,0,0,0,1,0,0,1,55,26,29,4,0
Samson Ebukam,lb,16,5,0,0,0,0,4,1,0,2,0,0,4.5,48,26,22,5,0
William Gholston,de,16,8,0,0,0,0,2,0,0,0,0,0,1,38,26,12,5,0
Everson Griffen,DE,15,15,1,17,0,17,2,0,0,0,0,0,8,41,26,15,11,0
William Jackson,CB,14,13,1,19,0,19,3,0,0,0,0,0,0,37,26,11,1,0
Linval Joseph,DT,13,13,0,0,0,0,0,1,0,0,0,0,3,44,26,18,6,0
Arthur Maulet,cb,12,6,1,13,0,13,2,0,0,1,0,1,0,38,26,12,5,0
Will Parks,s,14,7,1,11,0,11,2,1,0,0,0,0,1,35,26,9,1,0
Robert Quinn,DE,14,14,0,0,0,0,3,2,0,0,0,0,11.5,34,26,8,13,0
Kiko Alonso,lb,13,4,0,0,0,0,1,0,0,0,0,0,0,31,25,6,3,0
Derek Barnett,DE,14,14,0,0,0,0,0,2,0,0,0,0,6.5,30,25,5,10,0
Malcolm Butler,CB,9,9,2,61,1,38,9,0,0,0,0,0,0,32,25,7,1,0
Lorenzo Carter,LB,15,12,0,0,0,0,5,1,0,0,0,0,4.5,45,25,20,6,0
Darqueze Dennard,cb,9,5,0,0,0,0,5,0,0,0,0,0,0,37,25,12,1,0
Kemal Ishmael,s,14,3,0,0,0,0,0,1,0,0,0,0,0,44,25,19,2,0
Kevin Johnson,cb,16,1,0,0,0,0,5,0,0,0,0,0,1,36,25,11,1,0
Sebastian Joseph,DT,16,15,0,0,0,0,1,0,0,0,0,0,2,44,25,19,5,0
Cassius Marsh,lb,16,3,0,0,0,0,0,0,0,0,0,0,2.5,36,25,11,7,0
Jordan Phillips,DT,16,9,0,0,0,0,0,1,0,0,0,0,9.5,31,25,6,13,0
Will Redmond,s,13,4,0,0,0,0,1,0,0,0,0,0,0,36,25,11,1,0
Kyzir White,lb,16,7,1,0,0,0,2,0,0,0,0,0,0,40,25,15,1,0
Wesley Woodyard,lb,15,2,0,0,0,0,1,1,0,0,0,0,1,42,25,17,3,0
Michael Bennett,NA,15,1,0,0,0,0,0,0,0,0,0,0,6.5,32,24,8,14,0
Marquise Blair,fs,14,3,0,0,0,0,1,2,0,0,0,0,0,32,24,8,0,0
Rasul Douglas,cb,16,6,0,0,0,0,10,0,0,0,0,0,0,35,24,11,3,0
Javien Elliott,cb,16,3,1,0,0,0,2,0,0,0,0,0,0.5,38,24,14,1,0
Clelin Ferrell,DE,15,15,0,0,0,0,5,0,0,1,0,0,4.5,38,24,14,8,0
John Johnson,s,6,5,2,0,0,0,2,0,0,0,0,0,0,51,24,27,2,0
Dexter Lawrence,DL,16,16,0,0,0,0,1,1,0,0,0,0,2.5,38,24,14,3,0
Trent Murphy,DE,16,16,1,0,0,0,3,2,0,2,8,0,5,36,24,12,9,0
Carl Nassib,de,14,8,0,0,0,0,0,1,0,1,0,0,6,34,24,10,8,0
Ed Oliver,dt,16,7,0,0,0,0,2,1,0,0,0,0,5,43,24,19,5,0
Jason Pierre-Paul,de,10,8,0,0,0,0,2,2,0,0,0,0,8.5,27,24,3,9,0
LeShaun Sims,cb,14,2,0,0,0,0,2,0,0,1,0,0,0,35,24,11,0,0
Terrell Suggs,NA,15,13,0,0,0,0,0,4,0,1,0,0,6.5,40,24,16,9,0
Nick Williams,dt,16,5,0,0,0,0,2,0,0,2,4,0,6,42,24,18,5,0
Ahkello Witherspoon,cb,10,8,1,25,1,25,9,0,0,0,0,0,0,28,24,4,1,0
Josh Bynes,lb,12,7,2,7,0,6,4,0,0,0,0,0,1,46,23,23,6,0
B.J. Goodson,LB,15,9,0,0,0,0,0,0,0,0,0,0,0,37,23,14,0,0
Marcell Harris,s,13,4,0,0,0,0,5,3,0,1,3,0,0,40,23,17,0,0
Derwin James,db,5,5,0,0,0,0,1,0,0,0,0,0,0,34,23,11,3,0
Chris Jones,DT,13,12,0,0,0,0,4,1,0,1,12,0,9,36,23,13,8,0
Dean Lowry,DL,16,16,1,7,0,7,3,0,0,1,0,0,0,47,23,24,2,0
Uchenna Nwosu,lb,16,3,0,0,0,0,1,1,0,0,0,0,2,31,23,8,5,0
Emmanuel Ogbah,de,10,4,0,0,0,0,3,1,0,0,0,0,5.5,32,23,9,6,0
Adrian Phillips,db,7,5,0,0,0,0,0,0,0,0,0,0,0,36,23,13,1,0
Reggie Ragland,lb,14,7,0,0,0,0,0,0,0,1,5,1,2,30,23,7,4,0
Marvell Tell,cb,13,1,0,0,0,0,5,1,0,0,0,0,0,26,23,3,0,0
Darian Thompson,db,15,4,0,0,0,0,3,0,0,1,0,0,1.5,45,23,22,3,0
Dalvin Tomlinson,DL,16,16,0,0,0,0,0,1,0,0,0,0,3.5,49,23,26,7,0
Derek Wolfe,DE,12,12,0,0,0,0,1,1,0,0,0,0,7,34,23,11,8,0
Kwon Alexander,LB,8,8,1,0,0,0,4,1,0,0,0,0,0.5,34,22,12,2,0
Vernon Butler,DT,14,9,0,0,0,0,0,3,0,0,0,0,6,32,22,10,7,0
Jermaine Carter,lb,16,5,0,0,0,0,0,0,0,0,0,0,0.5,31,22,9,2,0
Samuel Eguavoen,lb,16,6,0,0,0,0,1,0,0,1,0,0,3.5,42,22,20,7,0
L.J. Fort,NA,16,8,0,0,0,0,1,0,0,0,0,0,2,37,22,15,4,0
Bruce Irvin,LB,13,12,0,0,0,0,1,1,0,1,0,0,8.5,36,22,14,8,1
Trumaine Johnson,cb,7,5,1,3,0,3,2,0,0,0,0,0,0,25,22,3,1,0
Darron Lee,lb,16,2,0,0,0,0,0,0,0,0,0,0,0,31,22,9,0,0
David Onyemata,DT,15,15,0,0,0,0,1,0,0,0,0,0,3,32,22,10,3,0
Roy Robertson-Harris,de,15,7,0,0,0,0,3,0,0,0,0,0,2.5,30,22,8,3,0
Ndamukong Suh,DL,16,16,0,0,0,0,4,0,0,4,43,2,2.5,41,22,19,7,0
Andrew Wingard,s,16,2,0,0,0,0,0,1,0,0,0,0,1,30,22,8,0,0
Tyson Alualu,de,16,5,0,0,0,0,2,1,0,0,0,0,1,41,21,20,4,0
Corey Ballentine,cb,13,2,0,0,0,0,2,0,0,0,0,0,0,26,21,5,0,0
Jadeveon Clowney,DE,13,11,1,27,1,27,3,4,0,2,10,1,3,31,21,10,7,0
Poona Ford,DT,15,14,0,0,0,0,1,0,0,1,0,0,0.5,32,21,11,5,0
Najee Goode,lb,10,4,0,0,0,0,2,0,0,0,0,0,1,27,21,6,1,0
Nate Hairston,cb,11,6,1,0,0,0,3,0,0,0,0,0,0,24,21,3,2,0
Jordan Jenkins,LB,14,13,0,0,0,0,3,2,0,0,0,0,8,32,21,11,9,0
Josey Jewell,lb,15,3,0,0,0,0,0,0,0,2,0,0,1.5,38,21,17,1,0
DaQuan Jones,DL,16,16,0,0,0,0,3,0,0,0,0,0,1,42,21,21,0,0
Tanoh Kpassagnon,DE,16,8,0,0,0,0,2,1,0,1,0,0,4,29,21,8,6,0
Shaq Lawson,NA,15,0,0,0,0,0,2,1,0,0,0,0,6.5,32,21,11,13,0
Steve McLendon,DL,16,16,0,0,0,0,0,0,0,1,0,0,2.5,36,21,15,10,0
Kevin Minter,lb,16,2,0,0,0,0,2,0,0,1,0,0,0,34,21,13,2,0
Al-Quadin Muhammad,de,16,4,0,0,0,0,0,1,0,0,0,0,3,28,21,7,8,0
Kyle Phillips,dl,15,4,0,0,0,0,1,0,0,0,0,0,1.5,39,21,18,7,0
Joe Thomas,lb,15,2,0,0,0,0,1,1,0,0,0,0,0,33,21,12,0,0
Leonard Williams,NA,15,12,0,0,0,0,3,1,0,0,0,0,0.5,46,21,25,2,0
Blidi Wreh-Wilson,cb,14,2,0,0,0,0,7,0,0,0,0,0,0,25,21,4,0,0
Mario Addison,de,15,15,0,0,0,0,0,2,0,0,0,0,9.5,34,20,14,6,0
Denico Autry,DT,14,14,0,0,0,0,4,1,0,0,0,0,3.5,32,20,12,4,0
Sam Beal,cb,6,3,0,0,0,0,1,0,0,0,0,0,0,26,20,6,1,1
Tyus Bowser,NA,16,0,0,0,0,0,2,1,0,1,33,1,5,24,20,4,3,0
Kris Boyd,NA,16,0,0,0,0,0,1,0,0,1,0,0,0,22,20,2,2,0
Christian Covington,de,16,6,0,0,0,0,1,0,0,0,0,0,1,28,20,8,4,0
Vinny Curry,de,16,2,0,0,0,0,0,0,0,0,0,0,5,27,20,7,5,0
Jaylon Ferguson,LB,14,9,0,0,0,0,1,0,0,1,0,0,2.5,31,20,11,6,0
Myles Garrett,DE,10,10,0,0,0,0,0,2,0,0,0,0,10,29,20,9,11,0
Eddie Goldman,NT,15,15,0,0,0,0,0,0,0,0,0,0,1,29,20,9,2,0
Rodney Gunter,DL,13,13,0,0,0,0,0,0,0,0,0,0,3,31,20,11,9,0
John Jenkins,dt,16,5,0,0,0,0,1,0,0,0,0,0,1,34,20,14,2,0
Nevin Lawson,cb,11,5,0,0,0,0,5,0,0,0,0,0,0,24,20,4,2,0
Ryan Lewis,NA,13,3,1,3,0,3,5,0,0,0,0,0,0,28,20,8,1,0
Craig Robertson,lb,15,1,1,3,0,3,1,0,0,0,0,0,1,27,20,7,2,0
Jabaal Sheard,DE,13,12,0,0,0,0,2,0,0,0,0,0,4.5,25,20,5,5,0
Olivier Vernon,DE,10,10,0,0,0,0,0,1,0,0,0,0,3.5,26,20,6,4,0
Jaylen Watkins,s,14,3,0,0,0,0,1,0,0,0,0,0,0,29,20,9,1,0
Deatrich Wise,dl,14,3,0,0,0,0,0,1,0,0,0,0,2,26,20,6,3,0
Blessuan Austin,cb,7,6,0,0,0,0,4,1,0,0,0,0,0,25,19,6,0,0
Brian Burns,de,16,5,0,0,0,0,0,1,0,1,56,1,7.5,25,19,6,5,0
Duron Harmon,DB,16,8,2,27,0,27,5,0,0,0,0,0,0,22,19,3,1,0
Travin Howard,NA,16,0,0,0,0,0,3,0,0,0,0,0,0,22,19,3,0,0
D.J. Jones,dl,11,11,0,0,0,0,0,1,0,0,0,0,2,23,19,4,4,0
Sidney Jones,cb,12,4,2,4,0,3,8,0,0,0,0,0,0,23,19,4,1,0
Jayron Kearse,s,15,3,1,0,0,0,6,0,0,0,0,0,0,28,19,9,0,0
Trey Marshall,s,16,2,0,0,0,0,0,1,0,2,12,0,0,25,19,6,0,0
Bobby McCain,S,9,8,2,53,0,32,3,0,1,0,0,0,0,25,19,6,0,0
Corey Peters,DL,16,16,0,0,0,0,0,0,0,0,0,0,2.5,38,19,19,6,0
Michael Pierce,DT,14,14,0,0,0,0,0,0,0,1,2,0,0.5,35,19,16,2,0
Vita Vea,DL,16,16,0,0,0,0,3,0,0,0,0,0,2.5,35,19,16,4,0
Troy Apke,s,15,2,1,33,0,33,2,0,0,0,0,0,0,26,18,8,2,0
Geno Atkins,DT,16,14,0,0,0,0,0,0,0,0,0,0,4.5,47,18,29,4,0
Tarell Basham,lb,16,2,1,1,0,1,6,0,0,1,2,0,2,33,18,15,3,0
Andrew Billings,DT,16,14,0,0,0,0,0,0,0,0,0,0,1,35,18,17,4,0
Malcom Brown,DT,16,16,0,0,0,0,1,0,0,1,0,0,2,34,18,16,6,0
Taven Bryan,DL,16,8,0,0,0,0,1,1,0,0,0,0,2,33,18,15,5,0
P.J. Hall,DT,16,12,0,0,0,0,0,0,0,0,0,0,1.5,26,18,8,5,0
Justin Jones,DT,12,12,0,0,0,0,1,1,0,0,0,0,0,30,18,12,2,0
Miles Killebrew,s,15,1,0,0,0,0,0,0,0,0,0,0,0,20,18,2,0,0
Takkarist McKinley,DE,14,13,0,0,0,0,0,0,0,0,0,0,3.5,29,18,11,7,0
Derrick Nnadi,DT,16,16,1,0,0,0,1,1,0,0,0,0,1,48,18,30,3,0
Ifeadi Odenigbo,NA,16,0,0,0,0,0,0,1,0,2,56,1,7,23,18,5,7,0
Amani Oruwariye,cb,9,2,2,0,0,0,3,0,0,0,0,0,0,19,18,1,0,0
Elandon Roberts,lb,16,3,0,0,0,0,1,0,0,0,0,0,1,29,18,11,1,0
Jeffery Simmons,dl,9,7,0,0,0,0,1,0,0,0,0,0,2,32,18,14,4,0
Tye Smith,cb,9,3,0,0,0,0,0,2,0,0,0,0,0,26,18,8,0,0
Jamar Taylor,NA,12,0,0,0,0,0,3,0,0,0,0,0,0,23,18,5,0,0
Stephon Tuitt,de,6,6,0,0,0,0,0,0,0,0,0,0,3.5,22,18,4,6,0
Terrence Brooks,NA,15,0,1,0,0,0,3,0,0,0,0,0,0,24,17,7,0,0
Zach Brown,lb,6,6,0,0,0,0,2,0,0,0,0,0,0,31,17,14,2,0
Adam Butler,dl,16,2,0,0,0,0,5,0,0,0,0,0,6,26,17,9,8,0
Kamu Grugier-Hill,lb,10,6,0,0,0,0,0,0,0,1,29,0,0,23,17,6,4,0
Chris Jones Cornerback,cb,11,3,0,0,0,0,6,0,0,0,0,0,0,22,17,5,0,0
Reshad Jones,s,4,4,0,0,0,0,1,0,0,0,0,0,0,27,17,10,1,0
Kameron Kelly,db,14,1,1,10,0,10,1,0,0,0,0,0,0,21,17,4,0,0
Tyler Lancaster,DL,16,10,0,0,0,0,0,1,0,1,0,0,1.5,30,17,13,2,0
Carl Lawson,de,12,2,0,0,0,0,0,0,0,0,0,0,5,23,17,6,6,0
Pernell McPhee,lb,7,7,0,0,0,0,1,0,0,0,0,0,3,19,17,2,7,0
Tony McRae,cb,16,2,0,0,0,0,1,0,0,0,0,0,0,22,17,5,1,0
Terrance Mitchell,cb,15,4,1,28,0,28,3,0,0,0,0,0,0,21,17,4,2,0
Chad Thomas,DE,16,8,0,0,0,0,1,0,0,1,0,0,4,26,17,9,6,0
Ken Webster,cb,8,5,0,0,0,0,1,0,0,0,0,0,0,19,17,2,0,0
Chase Winovich,NA,16,0,0,0,0,0,0,0,0,0,0,0,5.5,26,17,9,4,0
Chris Wormley,de,16,7,0,0,0,0,2,0,0,0,0,0,1.5,33,17,16,2,0
Kentrell Brothers,lb,13,1,0,0,0,0,0,0,0,0,0,0,0,23,16,7,0,0
Deone Bucannon,NA,14,1,0,0,0,0,0,0,0,0,0,0,0,28,16,12,1,0
Bradley Chubb,lb,4,4,0,0,0,0,1,1,0,0,0,0,1,21,16,5,5,0
Adrian Colbert,db,6,5,0,0,0,0,2,0,0,0,0,0,0,22,16,6,0,0
Jamel Dean,cb,13,5,2,31,0,31,17,0,1,0,0,0,0,21,16,5,1,0
Trent Harris,lb,11,3,0,0,0,0,0,1,0,0,0,0,1.5,22,16,6,1,0
Ryan Kerrigan,LB,12,12,0,0,0,0,1,1,0,0,0,0,5.5,25,16,9,6,0
Tyler Matakevich,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,18,16,2,0,0
Tarvarius Moore,db,16,3,0,0,0,0,3,0,0,0,0,0,0,25,16,9,0,0
Malik Reed,LB,15,8,0,0,0,0,1,0,0,1,0,0,2,27,16,11,4,0
Josh Sweat,NA,16,0,0,0,0,0,1,0,0,0,0,0,4,21,16,5,7,0
Al Woods,dt,14,5,0,0,0,0,0,0,0,2,5,0,1,32,16,16,3,0
Walt Aikens,NA,15,0,0,0,0,0,1,0,0,0,0,0,0,21,15,6,1,0
Maliek Collins,DT,16,16,0,0,0,0,0,0,0,1,0,0,4,20,15,5,6,0
Marcus Davenport,DE,13,13,0,0,0,0,0,3,0,0,0,0,6,31,15,16,5,0
Duke Dawson,cb,14,3,0,0,0,0,2,0,0,1,0,0,0,19,15,4,0,0
T.J. Edwards,lb,16,4,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0
Rasheem Green,DE,16,8,0,0,0,0,2,3,0,1,36,0,4,27,15,12,3,0
B.J. Hill,dl,16,5,0,0,0,0,0,0,0,0,0,0,1,36,15,21,2,0
Delano Hill,ss,12,4,0,0,0,0,0,0,0,0,0,0,0,25,15,10,0,0
Amani Hooker,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,20,15,5,0,0
Jaleel Johnson,dt,16,3,0,0,0,0,0,0,0,0,0,0,3.5,29,15,14,5,0
Abry Jones,DT,16,15,0,0,0,0,0,0,0,1,0,0,2,31,15,16,1,0
Gerald McCoy,DT,16,16,0,0,0,0,2,0,0,0,0,0,5,37,15,22,7,0
Brandon Mebane,NT,13,13,0,0,0,0,0,0,0,0,0,0,1,27,15,12,1,0
Eric Murray,s,9,4,0,0,0,0,1,0,0,0,0,0,1,24,15,9,3,0
Bilal Nichols,DT,13,12,0,0,0,0,1,0,0,1,0,0,0,27,15,12,1,0
Alex Okafor,DE,10,9,0,0,0,0,1,1,0,0,0,0,5,22,15,7,5,0
Steven Parker,s,14,4,2,35,0,35,3,0,0,0,0,0,0,20,15,5,0,0
Kevin Peterson,cb,14,3,0,0,0,0,2,0,0,0,0,0,0,22,15,7,0,0
Dontari Poe,DT,11,10,0,0,0,0,0,0,0,0,0,0,4,22,15,7,7,0
Damion Square,nt,16,4,0,0,0,0,2,0,0,0,0,0,0,27,15,12,1,0
Shamar Stephen,DT,15,15,0,0,0,0,3,1,0,1,0,0,1,21,15,6,2,0
Solomon Thomas,dl,16,3,0,0,0,0,0,0,0,0,0,0,2,21,15,6,3,0
J.J. Watt,DE,8,8,0,0,0,0,3,1,0,2,0,0,4,24,15,9,4,0
Quinnen Williams,DL,13,9,0,0,0,0,1,0,0,1,0,0,2.5,28,15,13,4,0
Kenny Young,NA,14,3,0,0,0,0,0,1,0,0,0,0,0,17,15,2,3,0
Henry Anderson,DL,13,13,0,0,0,0,0,0,0,0,0,0,1,25,14,11,3,0
Jeremiah Attaochu,lb,12,5,0,0,0,0,0,0,0,1,1,0,3.5,21,14,7,5,0
Anthony Averett,cb,9,3,0,0,0,0,2,0,0,0,0,0,0,15,14,1,1,0
Allen Bailey,de,15,5,0,0,0,0,0,0,0,0,0,0,1,26,14,12,4,0
Ronald Blair,NA,9,0,0,0,0,0,0,0,0,1,0,0,3,21,14,7,7,0
Jonathan Bullard,dl,9,6,0,0,0,0,0,0,0,0,0,0,1.5,22,14,8,4,0
Taco Charlton,de,10,5,0,0,0,0,0,2,0,0,0,0,5,21,14,7,3,0
Folorunso Fatukasi,NA,14,0,0,0,0,0,1,0,0,0,0,0,1,27,14,13,7,0
Jerry Hughes,DE,16,16,0,0,0,0,3,0,0,1,11,0,4.5,23,14,9,6,0
Margus Hunt,dt,16,5,0,0,0,0,0,0,0,0,0,0,0,17,14,3,0,0
Branden Jackson,de,15,3,0,0,0,0,2,0,0,0,0,0,2,20,14,6,2,0
Quinton Jefferson,DE,14,12,0,0,0,0,3,0,0,1,20,0,3.5,26,14,12,4,0
Efe Obada,NA,16,0,0,0,0,0,1,0,0,0,0,0,0,24,14,10,2,0
Romeo Okwara,de,14,1,0,0,0,0,0,1,0,0,0,0,1.5,28,14,14,1,0
Patrick Robinson,NA,11,0,0,0,0,0,2,0,0,0,0,0,0,16,14,2,1,0
Akeem Spence,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,18,14,4,0,0
Grover Stewart,DT,16,13,0,0,0,0,1,0,0,0,0,0,3,30,14,16,5,0
Sione Takitaki,lb,15,1,0,0,0,0,0,0,0,0,0,0,0,21,14,7,0,0
Deionte Thompson,s,11,2,0,0,0,0,0,0,0,0,0,0,0,18,14,4,0,0
Josh Tupou,dt,16,7,0,0,0,0,0,1,0,0,0,0,0,27,14,13,3,0
Stephen Weatherly,de,16,1,0,0,0,0,0,1,0,0,0,0,3,24,14,10,5,0
Darious Williams,db,12,3,2,0,0,0,4,0,0,1,0,1,0,15,14,1,1,0
Brandon Wilson,s,12,2,0,0,0,0,0,2,1,1,0,0,0,24,14,10,0,0
Ugochukwu Amadi,NA,16,0,0,0,0,0,0,0,0,1,0,0,0,17,13,4,0,0
John Atkins,dt,12,6,0,0,0,0,0,0,0,0,0,0,0,20,13,7,0,0
Dylan Cole,NA,11,0,0,0,0,0,1,0,0,1,27,0,0,16,13,3,0,0
Aaron Colvin,NA,7,3,0,0,0,0,1,0,0,0,0,0,0,15,13,2,0,0
Kyler Fackrell,NA,16,0,0,0,0,0,0,0,0,0,0,0,1,23,13,10,2,0
Clayton Fejedelem,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,15,13,2,0,0
Rashan Gary,NA,16,0,0,0,0,0,0,0,0,1,0,0,2,21,13,8,3,0
Reggie Gilbert,lb,11,5,0,0,0,0,1,0,0,0,0,0,1,22,13,9,1,0
J.T. Gray,NA,16,0,0,0,0,0,0,0,0,1,0,0,0,17,13,4,0,0
Zach Kerr,dl,12,3,0,0,0,0,1,0,0,0,0,0,0,19,13,6,1,0
Mike Pennel,NA,8,0,0,0,0,0,0,0,0,0,0,0,1,24,13,11,2,0
Khalen Saunders,dt,12,4,0,0,0,0,1,0,0,0,0,0,1,22,13,9,0,0
Cameron Sutton,NA,16,0,1,26,0,26,5,0,0,0,0,0,1,16,13,3,2,0
Desmond Trufant,CB,9,9,4,26,0,16,7,0,0,0,0,0,0,18,13,5,1,0
DeMarcus Walker,de,10,1,0,0,0,0,1,0,0,0,0,0,4,22,13,9,5,0
Derek Watt,fb,16,2,0,0,0,0,0,0,0,0,0,0,0,16,13,3,0,0
Armani Watts,NA,16,0,0,0,0,0,0,0,0,0,0,0,1,17,13,4,1,0
Brandon Williams,DT,14,14,0,0,0,0,0,0,0,1,0,0,1,34,13,21,2,0
Ezekiel Ansah,de,11,1,0,0,0,0,2,2,0,2,5,0,2.5,18,12,6,3,0
Dorance Armstrong,NA,15,0,0,0,0,0,0,1,0,0,0,0,2,15,12,3,1,0
Adrian Clayborn,de,15,1,0,0,0,0,0,2,0,0,0,0,4,18,12,6,4,0
Morgan Fox,de,16,3,0,0,0,0,0,0,0,0,0,0,2,18,12,6,3,0
Phillip Gaines,cb,6,2,0,0,0,0,2,0,0,0,0,0,0,13,12,1,1,0
