,,Game,Game,Def,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb,,Tack,Tack,Tack,Tack,
Player,Pos,G,GS,Int,IntYds,IntTD,IntLong,PD,FF,Fmb,FR,FmbYds,FumbTD,Sacks,Comb,Solo,Ast,TFL,Sfty
,,,,,,,,,,,,,,,,,,,
Darryl Roberts,CB,13,10,1,13,0,13,6,0,0,0,0,0,0,63,58,5,1,0
Devin White,LB,13,13,1,5,0,5,3,3,0,4,121,2,2.5,91,58,33,4,0
Justin Reid,S,15,15,2,55,0,37,5,0,0,1,0,0,0,78,57,21,1,0
Jarrod Wilson,S,16,16,2,4,0,4,4,1,0,0,0,0,0,79,57,22,6,0
Mack Wilson,LB,16,14,1,21,0,21,7,1,0,0,0,0,1,82,57,25,4,0
Jonathan Bostic,LB,16,16,1,26,0,26,2,0,0,0,0,0,1,105,56,49,3,0
Kevin King,CB,15,14,5,54,0,39,15,1,0,0,0,0,1,66,56,10,3,0
Nick Kwiatkoski,LB,16,8,1,4,0,4,4,1,0,0,0,0,3,76,56,20,8,1
Charvarius Ward,CB,16,16,2,10,0,10,10,1,0,0,0,0,0,74,56,18,0,0
Trae Waynes,CB,14,14,1,0,0,0,8,2,0,1,20,0,0,58,56,2,4,0
Sean Lee,LB,16,13,1,25,0,25,4,0,0,0,0,0,1,86,55,31,4,0
Ricardo Allen,S,16,16,2,29,0,27,8,0,0,0,0,0,0,85,54,31,4,0
Anthony Barr,LB,14,14,1,2,0,2,4,1,0,1,19,0,1.5,79,54,25,6,1
Carlton Davis,CB,14,14,1,0,0,0,19,1,0,1,6,0,0,60,54,6,3,0
Benardrick McKinney,LB,14,14,0,0,0,0,3,1,0,2,1,0,1,101,54,47,4,0
Xavier Rhodes,CB,15,15,0,0,0,0,6,1,0,0,0,0,0,63,54,9,5,0
Eric Rowe,CB,16,15,1,35,1,35,8,1,0,0,0,0,0,81,54,27,1,0
Rock Ya-Sin,CB,15,13,1,0,0,0,5,0,0,1,0,0,0,62,54,8,2,0
Eli Apple,CB,15,15,0,0,0,0,4,1,0,0,0,0,0,58,53,5,0,0
Tre Boston,db,16,16,3,20,0,20,11,0,0,0,0,0,0,68,53,15,1,0
Marlon Humphrey,CB,16,15,3,14,0,14,14,2,0,3,91,2,0,65,53,12,4,0
Nicholas Morrow,LB,16,8,1,11,0,11,4,0,0,0,0,0,0,73,53,20,2,0
Khari Willis,S,14,9,0,0,0,0,1,0,0,0,0,0,0,71,53,18,2,0
