,Game,Game,Tack,Tack,Tack,Tack,Tack,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb
Player,G,GS,Sacks,Solo,Ast,Comb,TFL,Int,IntYds,IntTd,PD,Fmb,FR,FumbYds,FumbTD,FF
,,,,,,,,,,,,,,,,
Denico Autry,82,43,23,121,48,169,41,0,0,0,17,0,3,0,0,3
Michael Brockers,123,121,23,229,115,344,43,0,0,0,9,0,1,0,0,2
Tyrone Crawford,96,76,23,113,67,180,31,0,0,0,6,0,3,0,0,3
Tyson Alualu,157,100,22.5,235,125,360,42,0,0,0,9,0,3,7,0,3
Lavonte David,121,121,22.5,724,284,1008,116,11,174,2,45,0,14,74,1,21
Demario Davis,128,114,22.5,547,256,803,60,2,1,0,29,0,6,8,0,3
Brooks Reed,129,86,22.5,188,96,284,36,1,5,0,11,0,2,0,0,4
Grady Jarrett,77,62,21.5,133,115,248,43,0,0,0,0,0,1,0,0,5
Clinton McDonald,121,37,21,178,101,279,37,2,6,0,6,1,6,6,0,0
Allen Bailey,117,66,20.5,156,77,233,38,0,0,0,6,0,7,3,1,4
Matthew Ioannidis,54,34,20.5,84,46,130,20,0,0,0,1,0,1,0,0,2
Jordan Jenkins,60,50,20.5,100,57,157,22,0,0,0,7,0,5,0,0,6
Dontari Poe,121,118,20.5,202,76,278,31,0,0,0,14,0,1,0,0,2
Aaron Lynch,73,22,20,81,24,105,36,1,20,0,10,0,1,0,0,0
Benson Mayowa,87,15,20,93,38,131,34,0,0,0,5,0,4,40,0,6
Domata Peko,208,189,20,315,285,600,47,0,0,0,14,0,5,1,0,3
Bobby Wagner,119,118,19.5,645,430,1075,58,10,184,1,47,1,9,82,3,5
Arik Armstead,62,43,19,96,56,152,24,0,0,0,3,0,1,0,0,3
Mychal Kendricks,103,91,19,404,144,548,52,4,26,0,30,0,5,21,0,7
John Simon,81,36,19,146,78,224,21,2,32,1,8,0,1,0,0,2
Leonard Floyd,54,54,18.5,108,46,154,26,1,19,1,9,0,3,21,1,1
Brandon Mebane,182,176,18.5,299,168,467,63,1,5,0,10,0,4,0,0,3
Sam Acho,110,57,18,178,63,241,22,3,5,0,11,0,3,1,0,11
Carl Nassib,59,32,18,80,35,115,31,0,0,0,11,0,1,0,0,3
Emmanuel Ogbah,50,44,18,93,61,154,22,0,0,0,20,0,2,0,0,3
Zach Brown,100,80,17.5,462,202,664,59,7,204,2,22,1,3,6,0,6
Timmy Jernigan,71,53,17.5,70,62,132,29,1,0,0,3,1,1,1,0,0
Kyle Van Noy,81,52,17.5,200,89,289,24,2,0,0,10,0,4,68,2,5
Leonard Williams,79,75,17.5,135,131,266,34,1,6,0,6,0,0,0,0,3
Vince Williams,107,55,17.5,286,123,409,36,2,30,1,5,0,4,0,0,0
Corey Peters,129,112,17,183,94,277,44,1,1,0,8,0,2,13,1,1
Kenny Clark,60,46,16.5,112,81,193,24,0,0,0,7,0,4,2,0,4
Kyler Fackrell,61,9,16.5,80,31,111,21,0,0,0,1,0,1,0,0,1
Shaq Lawson,50,17,16.5,63,45,108,25,0,0,0,10,0,0,0,0,5
Takkarist McKinley,45,21,16.5,48,23,71,21,0,0,0,1,0,1,0,0,2
Jack Crawford,93,27,16,71,66,137,21,1,6,0,4,0,0,0,0,2
Sheldon Rankins,51,32,16,64,32,96,22,1,27,0,2,0,0,0,0,3
Jeremiah Attaochu,61,18,15.5,89,24,113,25,0,0,0,2,0,1,1,0,3
Wes Horton,83,35,15.5,53,44,97,13,0,0,0,2,0,2,4,0,7
Jarran Reed,56,47,15.5,80,76,156,17,0,0,0,5,0,2,2,0,2
Jonathan Allen,36,36,15,84,55,139,18,0,0,0,1,0,1,0,0,0
Anthony Barr,85,85,15,291,126,417,36,2,34,0,26,0,5,46,1,8
Kyle Love,115,32,15,81,67,148,19,0,0,0,3,0,5,0,0,4
Jordan Phillips,76,35,15,77,36,113,27,1,17,0,14,0,1,0,0,1
Maliek Collins,61,55,14.5,54,30,84,20,0,0,0,0,0,5,6,0,1
Javon Hargrave,63,52,14.5,106,62,168,22,0,0,0,2,0,1,0,1,2
Sam Hubbard,31,15,14.5,73,42,115,17,0,0,0,5,0,1,19,1,2
Carl Lawson,35,3,14.5,31,14,45,15,0,0,0,0,0,0,0,0,0
Avery Williamson,79,75,14.5,319,177,496,26,3,36,0,14,0,3,43,0,5
Derek Barnett,35,20,14,54,13,67,23,0,0,0,0,0,2,23,1,3
Shelby Harris,56,22,14,83,53,136,24,1,0,0,16,0,0,0,0,1
Cassius Marsh,84,8,14,114,45,159,25,0,0,0,0,0,2,0,0,4
Shane Ray,49,15,14,64,30,94,15,0,0,0,2,0,2,18,1,2
Ronald Blair,47,2,13.5,59,29,88,22,0,0,0,0,0,1,0,0,1
Johnathan Hankins,98,86,13.5,162,108,270,34,0,0,0,8,0,2,0,0,3
Harold Landry,31,19,13.5,67,45,112,17,1,0,0,3,0,2,0,0,2
Star Lotulelei,108,107,13.5,105,72,177,32,1,0,0,7,0,2,0,0,2
Orlando Scandrick,143,77,13.5,406,51,457,27,9,42,1,76,0,2,59,1,10
Bradley Chubb,20,20,13,57,24,81,19,0,0,0,2,0,1,4,0,3
Harrison Smith,114,113,13,503,155,658,37,23,397,4,56,0,8,0,0,7
Eddie Goldman,67,63,12.5,102,51,153,17,0,0,0,1,0,2,0,0,0
Steve McLendon,138,86,12.5,150,84,234,41,0,0,0,2,0,2,0,0,3
Jamal Adams,46,46,12,210,63,273,28,2,99,1,25,0,4,30,1,6
Mark Barron,119,102,12,541,169,710,48,9,52,0,42,1,4,30,0,5
William Gholston,103,56,12,180,92,272,39,0,0,0,10,0,1,0,0,3
Darius Leonard,28,28,12,182,102,284,19,7,130,1,15,1,2,0,0,6
Larry Ogunjobi,45,32,12,85,49,134,24,0,0,0,1,0,0,0,0,1
Lawrence Guy,115,66,11.5,163,143,306,29,1,5,0,8,0,4,6,0,2
Christian Kirksey,73,54,11.5,304,180,484,30,2,17,0,16,0,3,8,0,4
Benardrick McKinney,76,73,11.5,295,198,493,34,1,0,0,13,0,2,1,0,4
Deatrich Wise,46,11,11.5,51,31,82,13,0,0,0,1,0,0,0,0,1
K.J. Wright,128,124,11.5,533,322,855,55,5,35,0,44,0,7,34,0,10
Henry Anderson,58,35,11,79,46,125,19,0,0,0,8,0,1,0,0,1
Adam Butler,48,8,11,36,26,62,14,0,0,0,7,0,0,0,0,1
Rodney Gunter,77,38,11,86,40,126,26,0,0,0,1,0,1,0,0,2
Damon Harrison,117,110,11,292,193,485,37,1,9,0,10,0,1,0,0,4
Logan Ryan,109,85,11,367,127,494,15,17,183,1,78,0,0,0,0,9
Malcom Brown,76,67,10.5,121,99,220,20,0,0,0,1,0,4,0,0,1
Marcus Davenport,26,13,10.5,27,26,53,11,0,0,0,2,0,0,0,0,4
Mario Edwards,59,24,10.5,71,22,93,12,0,0,0,2,0,0,0,0,3
Reshad Jones,128,113,10.5,599,177,776,41,21,361,4,55,3,7,85,2,3
Dion Jordan,50,4,10.5,71,20,91,11,0,0,0,5,0,0,0,0,2
A.J. Klein,103,65,10.5,225,114,339,34,3,28,1,11,0,3,17,0,6
Akeem Spence,103,57,10.5,120,75,195,19,0,0,0,0,0,4,0,0,1
Kenny Vaccaro,97,96,10.5,375,152,527,29,10,147,0,39,1,3,8,1,4
Maxx Crosby,16,10,10,36,11,47,16,0,0,0,4,0,0,0,0,4
Jarrad Davis,41,41,10,176,83,259,18,1,12,0,9,0,3,36,0,5
Kerry Hyder,40,2,10,38,21,59,15,0,0,0,1,0,2,0,0,0
Malcolm Jenkins,167,159,10,682,192,874,41,17,498,6,95,1,11,75,1,18
Blake Martinez,61,57,10,331,181,512,29,3,29,0,17,0,2,0,0,2
Barkevious Mingo,110,38,10,156,64,220,24,1,7,0,14,0,5,0,0,5
Damontre Moore,56,0,10,63,25,88,11,0,0,0,4,0,1,7,0,3
Romeo Okwara,51,19,10,55,40,95,11,0,0,0,3,0,0,0,0,2
Antoine Bethea,209,200,9.5,995,338,1333,33,25,312,1,81,0,7,5,0,9
Morgan Burnett,121,112,9.5,540,229,769,27,10,95,0,52,0,10,93,1,8
Samson Ebukam,48,21,9.5,77,42,119,13,1,25,1,5,0,4,11,1,5
Abry Jones,100,47,9.5,125,63,188,18,0,0,0,12,0,3,0,0,3
Patrick Onwuasor,57,32,9.5,161,73,234,17,1,33,0,6,0,1,0,0,5
David Onyemata,63,25,9.5,74,49,123,11,0,0,0,3,0,0,0,0,1
Shaq Thompson,70,61,9.5,238,118,356,29,1,12,0,12,0,2,9,1,2
Eric Weddle,201,186,9.5,903,276,1179,38,29,467,4,98,3,7,113,1,8
Nick Bosa,16,14,9,32,15,47,16,1,46,0,2,0,2,6,0,1
Taco Charlton,37,12,9,42,25,67,11,0,0,0,2,0,1,0,0,3
Eric Kendricks,74,70,9,342,190,532,34,4,111,2,35,0,4,25,0,4
Tyrann Mathieu,98,89,9,416,56,472,36,17,209,1,61,0,2,19,0,4
Craig Robertson,120,65,9,365,207,572,31,10,133,0,26,0,9,31,1,2
Danny Trevathan,96,77,9,427,182,609,26,8,88,1,34,1,3,0,0,6
Nigel Bradham,115,96,8.5,403,216,619,34,3,50,0,33,0,5,85,2,5
Jayon Brown,46,23,8.5,171,83,254,12,2,22,1,18,0,3,54,1,2
Vontaze Burfict,79,77,8.5,407,215,622,35,5,82,0,29,0,5,13,1,4
Lorenzo Carter,30,14,8.5,55,33,88,13,0,0,0,9,0,0,0,0,1
Kamalei Correa,54,13,8.5,52,23,75,11,0,0,0,4,0,1,0,0,2
Christian Covington,66,15,8.5,59,34,93,15,0,0,0,2,0,0,0,0,1
Tony Jefferson,98,66,8.5,345,106,451,33,4,54,1,22,0,4,0,0,8
Cory Littleton,64,37,8.5,205,110,315,20,6,82,1,26,0,4,16,0,3
C.J. Mosley,79,79,8.5,391,197,588,43,10,174,2,37,1,6,65,1,6
Joe Schobert,61,49,8.5,252,156,408,15,6,32,0,20,0,3,73,0,7
Chris Smith,60,2,8.5,46,21,67,11,0,0,0,6,0,0,0,0,3
Vonn Bell,61,45,8,252,96,348,14,1,19,0,14,0,7,38,1,7
Vernon Butler,52,9,8,41,36,77,10,0,0,0,2,0,2,0,0,3
Kwon Alexander,54,54,7.5,293,121,414,33,7,123,1,26,0,2,24,0,7
Brian Burns,16,5,7.5,19,6,25,5,0,0,0,0,0,1,56,1,1
Anthony Chickillo,65,9,7.5,59,38,97,11,0,0,0,3,0,3,0,0,3
Margus Hunt,91,25,7.5,71,34,105,23,0,0,0,7,0,1,0,0,1
Maurice Hurst,29,14,7.5,37,12,49,7,1,55,0,6,0,2,0,0,1
Quinton Jefferson,39,24,7.5,35,24,59,10,0,0,0,5,0,2,20,0,0
Zach Kerr,75,12,7.5,76,59,135,13,0,0,0,5,0,1,0,0,1
Terrell McClain,92,34,7.5,86,47,133,12,0,0,0,0,0,3,0,0,3
Alec Ogletree,93,93,7.5,473,203,676,41,12,259,4,57,0,2,0,0,12
Olsen Pierre,33,8,7.5,35,15,50,13,0,0,0,2,0,0,0,0,1
Haason Reddick,48,20,7.5,119,73,192,18,0,0,0,11,0,1,3,0,3
Roy Robertson-Harris,44,7,7.5,40,25,65,8,0,0,0,6,0,1,0,0,0
Jaylon Smith,48,38,7.5,215,129,344,15,1,0,0,15,0,3,75,1,6
Telvin Smith,76,69,7.5,446,141,587,52,9,130,3,26,0,6,57,1,5
Noah Spence,41,6,7.5,24,13,37,3,0,0,0,2,0,0,0,0,4
Anthony Zettel,49,16,7.5,51,25,76,15,0,0,0,0,0,1,0,0,1
Deone Bucannon,84,57,7,329,105,434,28,2,78,1,12,0,5,4,0,7
Brandon Copeland,60,14,7,73,34,107,14,0,0,0,4,0,0,0,0,2
Christian Jones,92,60,7,251,131,382,15,0,0,0,15,0,4,2,0,2
DaQuan Jones,83,77,7,107,79,186,14,0,0,0,4,0,2,0,1,1
Dean Lowry,63,35,7,78,53,131,15,1,7,0,9,0,3,62,1,1
Ifeadi Odenigbo,17,0,7,18,6,24,7,0,0,0,0,0,2,56,1,1
Da'Ron Payne,31,25,7,67,45,112,9,0,0,0,5,0,1,9,0,1
Isaac Rochell,35,3,7,25,20,45,9,1,4,0,2,0,0,0,0,0
Ryan Shazier,46,41,7,202,97,299,24,7,2,0,25,0,3,3,0,7
Roquan Smith,28,26,7,155,67,222,13,2,22,0,7,0,0,0,0,0
Montez Sweat,16,16,7,31,19,50,8,0,0,0,2,0,0,0,0,2
Jonathan Bostic,86,62,6.5,264,155,419,23,2,26,0,12,0,2,0,0,0
Trey Hendrickson,30,3,6.5,25,15,40,6,0,0,0,2,0,0,0,0,2
