,,Game,Game,Punt,Punt,Punt,Punt,Kick,Kick,Kick,Kick
Player,Pos,G,GS,PuntRet,PuntRetYds,PuntTds,PuntLng,RtAttempts,RtYds,RtTds,RtLng
,,,,,,,,,,,
Isaiah McKenzie,WR,15,8,1,4,0,4,3,65,0,24
Chris Moore,wr,14,1,0,0,0,0,4,81,0,26
Durham Smythe,TE,16,14,0,0,0,0,4,45,0,14
Keelan Cole,wr,16,1,0,0,0,0,3,110,0,59
Ashton Dulin,NA,13,0,0,0,0,0,3,90,0,46
Marvin Hall,NA,9,0,2,16,0,14,1,12,0,12
Darrell Henderson,NA,13,0,0,0,0,0,3,58,0,23
Johnny Holton,wr,16,3,0,0,0,0,3,55,0,21
Ty Johnson,rb,16,1,0,0,0,0,3,58,0,25
Keisean Nixon,NA,14,0,0,0,0,0,3,63,0,26
Rashaad Penny,NA,10,0,0,0,0,0,3,44,0,21
Chandon Sullivan,NA,16,0,0,0,0,0,3,48,0,19
Taywan Taylor,wr,3,1,0,0,0,0,3,53,0,23
Nelson Agholor,WR,11,10,2,7,0,4,0,0,0,0
Tony Brooks-James,NA,3,0,0,0,0,0,2,32,0,16
Rashard Davis,NA,1,0,2,9,0,10,0,0,0,0
C.J. Ham,fb,16,7,0,0,0,0,2,33,0,17
J.P. Holtz,NA,15,7,0,0,0,0,2,27,0,16
Byron Pringle,NA,16,0,0,0,0,0,2,41,0,22
Spencer Schnell,NA,1,0,2,3,0,2,0,0,0,0
Ito Smith,NA,7,0,0,0,0,0,2,59,0,33
Justin Watson,wr,16,2,2,3,0,7,0,0,0,0
James White,rb,15,1,0,0,0,0,2,41,0,21
Brandon Zylstra,NA,8,0,1,0,0,0,1,26,0,26
Odell Beckham,WR,16,15,1,-6,0,-6,0,0,0,0
Giovani Bernard,rb,16,2,0,0,0,0,1,14,0,14
Tyler Boyd,WR,16,15,1,-1,0,-1,0,0,0,0
Fred Brown,wr,13,1,1,0,0,0,0,0,0,0
Stephen Carlson,te,9,5,0,0,0,0,1,3,0,3
Jamel Dean,cb,13,5,1,0,0,0,0,0,0,0
Patrick DiMarco,fb,16,4,0,0,0,0,1,24,0,24
Kenyan Drake,NA,14,10,0,0,0,0,1,15,0,15
Julian Edelman,WR,16,13,0,0,0,0,1,19,0,19
Isaiah Ford,NA,8,0,0,0,0,0,1,6,0,6
Russell Gage,wr,16,4,1,-6,0,-6,0,0,0,0
Rashaan Gaulden,NA,10,0,1,0,0,0,0,0,0,0
