,Game,Game,Rush,Rush,Rush
Player,G,GS,Att,Yds,TD
,,,,,
Ty Johnson,16,1,63,273,0
Baker Mayfield,30,29,67,272,3
Travis Benjamin,101,37,36,268,0
C.J. Prosise,25,2,65,264,2
Tyler Lockett,79,55,38,256,1
Derrius Guice,5,1,42,245,2
Boston Scott,13,2,61,245,5
Mark Walton,21,4,67,235,0
Justice Hill,16,0,58,225,2
Mohamed Sanu,118,92,41,223,2
Drew Stanton,38,17,80,220,2
Golden Tate,148,111,44,216,0
Jared Goff,54,54,112,215,6
D.J. Moore,31,25,19,212,0
Jamize Olawale,109,20,55,206,4
C.J. Beathard,13,10,45,205,4
Sam Darnold,26,26,77,200,3
Taylor Gabriel,83,31,28,191,1
De'Anthony Thomas,69,6,31,191,2
Jarvis Landry,96,87,30,189,2
Elijhaa Penny,46,4,53,188,2
Darrel Williams,18,0,54,185,3
Trevor Siemian,27,25,60,183,1
Patrick Laird,15,4,62,168,1
Stefon Diggs,70,63,29,159,0
Deebo Samuel,15,11,14,159,3
Emmanuel Sanders,144,104,18,159,1
Josh Rosen,20,16,26,151,0
Adam Thielen,90,56,16,151,1
Marvin Jones,96,72,19,148,0
Darrell Henderson,13,0,39,147,0
Albert Wilson,75,33,23,143,1
Jarius Wright,111,30,11,143,0
Trey Edmunds,31,0,31,140,1
Alshon Jeffery,102,95,23,140,1
Cody Kessler,17,12,31,140,0
Sterling Shepard,53,52,16,140,0
Myles Gaskin,7,0,36,133,1
Christian Kirk,25,20,13,128,0
Darwin Thompson,12,0,37,128,1
Kyle Allen,15,13,37,125,3
Dede Westbrook,38,25,14,125,0
Antonio Brown,131,103,32,124,0
Kerrith Whyte,6,0,24,122,0
JJ Nelson,58,16,12,120,1
Isaiah McKenzie,34,9,19,119,2
Julio Jones,126,125,19,118,0
Reggie Bonnafon,16,0,16,116,1
Jimmy Garoppolo,42,26,94,116,2
Brian Hoyer,69,38,105,115,2
Travis Homer,16,1,18,114,0
Zach Line,75,22,36,114,2
Trenton Cannon,20,0,38,113,1
Ryquell Armstead,16,1,35,108,0
Byron Marshall,13,0,31,105,0
Andre Roberts,148,41,12,104,0
Chase Daniel,65,5,50,102,0
Dwayne Haskins,9,7,20,101,0
Keenan Allen,86,82,14,100,0
Marqise Lee,59,30,16,100,0
Danny Amendola,141,71,16,97,0
A.J. Green,111,111,11,93,0
Kyle Juszczyk,106,68,25,93,1
Matt Moore,55,32,71,92,2
Jon Hilliman,3,1,30,91,0
Mike Glennon,29,22,43,90,0
Marquise Goodwin,75,40,15,89,0
Josh Gordon,63,56,6,89,0
Delanie Walker,183,101,16,89,1
Trevor Davis,43,4,6,86,1
Steven Sims,16,2,9,85,1
Odell Beckham,75,71,18,84,0
Tyler Boyd,56,32,10,84,0
Phillip Dorsett,71,15,13,84,0
John Kelly,8,0,30,83,0
Jonnu Smith,45,39,4,78,0
Ryan Finley,3,3,10,77,0
Nathan Peterman,8,4,17,73,1
Sammy Watkins,76,73,10,73,0
Drew Lock,5,5,18,72,0
Alex Erickson,64,12,13,71,0
Jamison Crowder,72,40,16,68,0
Larry Fitzgerald,250,248,20,68,0
Devlin Hodges,8,6,21,68,0
A.J. McCarron,15,4,22,68,1
Anthony Sherman,140,34,25,65,1
Troymaine Pope,18,0,22,64,0
Calvin Ridley,29,15,8,61,0
Nelson Agholor,71,62,11,60,0
A.J. Brown,16,11,3,60,1
Evan Engram,34,25,7,57,0
Corey Davis,42,36,6,55,0
T.Y. Hilton,118,97,9,55,0
Johnny Holton,48,4,7,52,0
Vyncint Smith,20,5,3,52,1
Andy Janovich,50,19,13,51,3
Qadree Ollison,8,0,22,50,4
N'Keal Harry,7,5,5,49,0
Dontrell Hilliard,25,0,13,49,2
Detrez Newsome,9,0,11,49,0
Derek Watt,64,13,19,49,1
Tra Carson,9,1,18,48,0
Robby Anderson,62,47,9,47,0
John Brown,87,57,13,47,0
Torrey Smith,119,106,8,45,0
Josh Bellamy,82,14,5,43,0
D.J. Foster,16,0,13,43,0
Taywan Taylor,32,10,8,43,0
Mason Rudolph,10,8,21,42,0
Chad Williams,17,8,3,42,0
Diontae Johnson,16,12,4,41,0
Brandon Allen,3,3,10,39,0
Matt Simms,4,0,6,39,0
C.J. Ham,47,10,20,38,1
Marquez Valdes-Scantling,32,20,4,38,0
David Fluellen,25,0,8,37,0
Dwayne Harris,106,12,9,37,0
Adam Humphries,72,20,9,36,0
Tommylee Lewis,34,4,7,35,0
Parris Campbell,7,3,4,34,0
Josh Ferguson,28,0,19,34,0
Senorise Perry,59,0,11,33,0
George Kittle,45,37,6,32,0
David Blough,5,5,8,31,0
Deonte Harris,14,1,4,31,0
Josh Reynolds,48,11,7,31,0
Chris Hogan,95,35,7,30,0
David Moore,31,8,4,30,0
Roc Thomas,5,0,8,30,0
Mike Williams,41,21,8,30,1
Derek Carrier,82,22,2,29,0
Gerald Everett,45,4,4,29,0
Robert Foster,26,5,2,29,0
Cooper Kupp,39,28,6,29,0
Shaun Wilson,5,0,6,29,0
Russell Shepard,87,9,3,28,0
Amari Cooper,77,72,8,27,0
Chris Moore,58,5,11,27,0
Devine Ozigbo,10,0,9,27,0
Alex Armah,41,3,15,26,3
Dalyn Dawkins,4,0,11,26,0
James Develin,83,31,15,26,5
Zach Pascal,32,17,4,26,0
Ryan Switzer,41,1,10,26,0
Darren Waller,38,20,3,26,0
Tyler Ervin,35,0,6,25,0
Anthony Miller,31,11,7,25,0
John Ross,24,19,8,25,0
Jakeem Grant,52,4,9,23,1
Will Grier,2,2,7,22,0
