Player,Pos,G,GS,Rec,Yds,TD,Lng,Fmb
Phillip Lindsay,RB,16,16,35,196,0,36,0
Joe Mixon,RB,16,15,35,287,3,33,0
Dare Ogunbowale,rb,16,0,35,286,0,21,2
Jonnu Smith,TE,16,14,35,439,3,57,0
Geronimo Allison,wr,16,6,34,287,2,31,2
James Conner,RB,10,10,34,251,3,26,1
Darren Fells,TE,16,14,34,341,7,24,0
Ryan Griffin,TE,13,13,34,320,5,45,0
O.J. Howard,TE,14,14,34,459,1,33,1
J.D. McKissic,rb,16,3,34,233,1,26,0
Latavius Murray,RB,16,8,34,235,1,30,0
Steven Sims,wr,16,2,34,310,4,65,1
Damiere Byrd,wr,11,3,32,359,1,58,1
T.J. Hockenson,te,12,7,32,367,2,39,0
Allen Hurns,wr,14,7,32,416,2,27,1
Demarcus Robinson,WR,16,10,32,449,4,44,0
Preston Williams,wr,8,7,32,428,3,35,2
Nick Boyle,TE,16,15,31,321,2,35,0
Eric Ebron,te,11,2,31,375,3,48,0
Todd Gurley,RB,15,15,31,207,2,23,3
Blake Jarwin,te,16,7,31,365,3,42,1
Olabisi Johnson,wr,16,6,31,294,3,23,0
Ronald Jones,RB,16,9,31,309,0,41,3
Kaden Smith,te,9,6,31,268,3,32,2
Willie Snead,WR,16,11,31,339,5,50,0
Giovani Bernard,rb,16,2,30,234,0,35,2
Kendrick Bourne,rb,16,0,30,358,5,30,0
Ted Ginn,WR,16,9,30,421,2,45,0
Kelvin Harmon,WR,16,8,30,365,0,30,0
Hayden Hurst,te,16,4,30,349,2,61,0
Adam Thielen,WR,10,10,30,418,6,44,0
Damien Williams,rb,11,6,30,213,2,32,1
Phillip Dorsett,wr,14,4,29,397,5,58,0
Taylor Gabriel,wr,9,7,29,353,4,53,0
Devin Singletary,RB,12,8,29,194,2,49,4
DaeSean Hamilton,wr,16,2,28,297,1,28,0
Dawson Knox,TE,15,11,28,388,2,49,0
LeSean McCoy,RB,13,9,28,181,1,23,3
Paul Richardson,wr,10,6,28,245,2,22,0
John Ross,WR,8,8,28,506,3,66,1
Greg Ward,wr,7,3,28,254,1,38,0
Jarius Wright,WR,16,9,28,296,0,33,0
Rex Burkhead,rb,13,1,27,279,0,32,1
Josh Gordon,wr,11,7,27,426,1,58,0
Zay Jones,wr,15,9,27,216,0,23,0
Isaiah McKenzie,WR,15,8,27,254,1,46,0
C.J. Uzomah,TE,16,16,27,242,2,36,0
Mecole Hardman,wr,16,5,26,538,6,83,2
Mark Ingram,RB,15,15,26,247,5,25,2
Jakobi Meyers,wr,15,1,26,359,0,35,0
Trey Quinn,wr,12,6,26,198,1,19,1
Jeremy Sprinkle,TE,16,13,26,241,1,23,1
Marquez Valdes-Scantling,WR,16,10,26,452,2,74,0
Pharoh Cooper,wr,13,1,25,243,1,28,0
Josh Hill,TE,16,11,25,226,3,29,0
Dion Lewis,rb,16,1,25,164,1,24,1
David Montgomery,RB,16,8,25,185,1,30,2
Tajae Sharpe,wr,15,6,25,329,4,47,0
Keelan Cole,wr,16,1,24,361,3,55,0
Ty Johnson,rb,16,1,24,109,0,13,1
Cody Latimer,WR,15,10,24,300,2,43,0
Boston Scott,rb,11,2,24,204,0,39,4
Will Dissly,te,6,6,23,262,4,38,1
Isaiah Ford,wr,8,0,23,244,0,28,0
Bennie Fowler,wr,8,2,23,193,0,17,0
Patrick Laird,rb,15,4,23,204,0,21,0
Keke Coutee,wr,9,4,22,254,0,51,1
Tevin Coleman,RB,14,11,21,180,1,37,0
KeeSean Johnson,wr,10,4,21,187,1,31,1
Foster Moreau,te,13,7,21,174,5,23,0
Josh Reynolds,wr,16,2,21,326,1,31,0
Seth Roberts,wr,16,0,21,271,2,33,0
Delanie Walker,te,7,4,21,215,2,29,1
Josh Jacobs,RB,13,13,20,166,0,28,1
Kyle Juszczyk,fb,12,12,20,239,1,49,0
Matt Breida,rb,13,5,19,120,1,17,2
Jakeem Grant,wr,10,2,19,164,0,18,2
Justin Hardy,wr,16,1,19,195,0,23,0
Taysom Hill,qb,16,5,19,234,6,45,0
Parris Campbell,wr,7,3,18,127,1,27,3
Charles Clay,TE,15,10,18,237,1,47,0
Rhett Ellison,te,10,7,18,167,1,31,0
Derrick Henry,RB,15,15,18,206,2,75,5
Tre'Quan Smith,wr,11,6,18,234,5,32,0
Javon Wims,wr,16,6,18,186,1,37,0
C.J. Ham,fb,16,7,17,149,1,36,1
Marcus Johnson,wr,8,6,17,277,2,50,0
David Moore,wr,14,1,17,301,2,60,2
Adrian Peterson,RB,15,15,17,142,0,22,3
Vyncint Smith,wr,13,4,17,225,0,37,1
Nick Vannett,te,16,7,17,166,0,18,0
Ben Watson,TE,10,8,17,173,0,26,0
Peyton Barber,rb,16,7,16,115,1,16,1
Jaron Brown,wr,14,4,16,220,2,48,1
Jesse James,TE,16,11,16,142,0,23,0
Tim Patrick,wr,8,2,16,218,0,38,0
Chester Rogers,wr,12,6,16,179,2,27,2
Ian Thomas,te,16,3,16,136,1,19,0
Logan Thomas,te,16,3,16,173,1,17,0
Ameer Abdullah,rb,16,0,15,88,1,16,1
Ross Dwelley,te,16,6,15,91,2,25,0
Demetrius Harris,te,15,6,15,149,3,23,0
Marcedes Lewis,TE,16,11,15,156,1,25,0
Tony Pollard,rb,15,0,15,107,1,21,1
Malik Turner,wr,15,3,15,245,1,33,0
Mark Walton,rb,7,4,15,89,0,18,1
Justin Watson,wr,16,2,15,159,2,17,0
Darrel Williams,rb,12,0,15,167,1,52,1
Maxx Williams,TE,16,10,15,202,1,28,0
Ryquell Armstead,rb,16,1,14,144,2,31,0
Kalen Ballage,rb,12,6,14,63,0,13,0
Trey Burton,te,8,5,14,84,0,16,0
Anthony Firkser,te,15,1,14,204,1,39,0
Jeff Heuerman,TE,14,11,14,114,1,26,0
Marlon Mack,RB,14,12,14,82,0,14,0
Raheem Mostert,rb,16,0,14,180,2,39,2
James O'Shaughnessy,te,5,5,14,153,2,35,0
Ricky Seals-Jones,te,14,3,14,229,4,59,1
Tavon Austin,wr,14,0,13,177,1,59,1
Miles Boykin,WR,16,11,13,198,3,50,0
Derek Carrier,te,16,4,13,108,1,25,0
Frank Gore,RB,16,8,13,100,0,18,0
Matt LaCosse,TE,11,8,13,131,1,24,0
Scott Miller,wr,10,2,13,200,1,48,0
Ty Montgomery,rb,16,2,13,90,0,21,0
Nick O'Leary,te,12,5,13,109,1,19,1
Geoff Swaim,te,6,2,13,65,0,9,0
T.J. Yeldon,rb,6,0,13,124,0,23,1
Seth Devalve,te,12,6,12,140,0,20,0
Chase Edmonds,rb,13,2,12,105,1,31,0
Marquise Goodwin,wr,9,6,12,186,1,38,0
N'Keal Harry,wr,7,5,12,105,2,18,0
Dontrell Hilliard,rb,14,0,12,92,0,19,2
Dontrelle Inman,wr,7,1,12,181,0,28,0
Jake Kumerow,wr,14,4,12,219,1,49,0
Sony Michel,RB,16,14,12,94,0,19,2
Byron Pringle,wr,16,0,12,170,1,28,0
Damion Ratley,wr,13,3,12,200,1,46,0
Duke Williams,wr,4,3,12,166,1,41,0
Christian Blake,wr,9,3,11,91,0,13,0
DeAndre Carter,wr,16,3,11,162,0,46,2
Keelan Doss,wr,8,2,11,133,0,31,0
Wayne Gallman,rb,10,2,11,102,1,21,1
Travis Homer,rb,16,1,11,56,0,11,0
Cordarrelle Patterson,wr,16,4,11,83,0,33,0
Dante Pettis,wr,11,4,11,109,2,21,0
Ito Smith,rb,7,0,11,87,0,11,0
JJ Arcega-Whiteside,wr,16,5,10,169,1,30,0
Vernon Davis,te,4,1,10,123,1,48,0
Brian Hill,rb,12,2,10,69,1,12,0
Mack Hollins,wr,16,3,10,125,0,20,0
Jordan Howard,rb,10,4,10,69,1,20,0
Carlos Hyde,RB,16,14,10,42,0,14,4
Kerryon Johnson,rb,8,7,10,127,1,36,1
Alexander Mattison,rb,13,0,10,82,0,17,1
C.J. Prosise,rb,9,0,10,76,0,21,1
Robert Tonyan,te,11,1,10,100,1,28,0
Andrew Beck,fb,16,6,9,90,1,29,0
Brandon Bolden,rb,15,2,9,111,1,29,0
Deon Cain,wr,13,6,9,124,0,35,0
Jaeden Graham,te,16,0,9,149,1,53,0
Virgil Green,te,15,4,9,78,1,15,0
Andy Isabella,wr,15,1,9,189,1,88,0
DeSean Jackson,wr,3,3,9,159,2,53,0
Justin Jackson,rb,7,0,9,22,0,9,0
Joshua Perkins,te,5,0,9,87,1,24,0
Kalif Raymond,wr,8,1,9,170,1,52,1
Adam Shaheen,te,8,2,9,74,0,18,1
Wendell Smallwood,rb,15,0,9,64,0,18,0
Darwin Thompson,rb,12,0,9,43,0,19,0
Laquon Treadwell,wr,13,1,9,184,1,58,0
Damion Willis,wr,10,2,9,82,0,17,0
Mo Alie-Cox,te,16,2,8,93,0,21,0
Dan Arnold,te,5,1,8,127,2,37,0
Blake Bell,te,15,7,8,67,0,30,0
Antonio Callaway,wr,4,2,8,89,0,41,0
Tyler Conklin,te,15,1,8,58,0,20,0
Trevor Davis,wr,14,4,8,111,0,28,3
Hale Hentges,te,11,4,8,103,1,24,0
Justice Hill,rb,16,0,8,70,0,14,0
Chris Hogan,wr,7,1,8,67,0,13,0
Jesper Horsted,te,6,1,8,87,1,20,1
Rashaad Penny,rb,10,0,8,83,1,30,1
Patrick Ricard,fb,16,7,8,47,1,10,0
Luke Stocker,TE,15,9,8,53,0,18,1
Tommy Sweeney,te,6,1,8,114,0,29,0
Ryan Switzer,wr,9,0,8,27,0,8,1
Luke Willson,te,8,7,8,79,0,17,0
Brandon Zylstra,wr,8,0,8,106,0,40,1
Daniel Brown,te,16,5,7,72,1,24,0
Mike Davis,rb,12,1,7,22,0,7,0
Gus Edwards,rb,16,1,7,45,0,10,2
Myles Gaskin,rb,7,0,7,51,0,20,0
Derrius Guice,rb,5,1,7,79,1,45,0
Marvin Hall,wr,9,0,7,261,1,58,0
J.P. Holtz,te,15,7,7,91,0,30,0
Bilal Powell,rb,13,1,7,33,0,9,0
Durham Smythe,TE,16,14,7,65,0,24,0
Danny Vitale,fb,15,4,7,97,0,27,0
Jordan Wilkins,rb,14,1,7,43,0,11,0
Kenjon Barner,rb,14,0,6,22,0,13,4
Travis Benjamin,wr,5,2,6,30,0,13,0
Braxton Berrios,wr,16,0,6,115,0,69,1
Reggie Bonnafon,rb,16,0,6,57,0,32,0
Devontae Booker,rb,16,0,6,57,0,25,0
Ben Braunecker,te,11,3,6,59,1,18,0
Trey Edmunds,rb,11,0,6,48,0,11,0
Troy Fumagalli,te,11,5,6,38,1,9,0
Deonte Harris,wr,14,1,6,24,0,13,3
Alec Ingold,fb,16,4,6,44,1,14,0
Ryan Izzo,te,6,4,6,114,1,41,0
Richie James,wr,16,1,6,165,1,57,1
D'Ernest Johnson,rb,16,0,6,71,0,27,0
Tyler Kroft,te,11,3,6,71,1,20,0
Zach Line,fb,12,2,6,36,0,12,0
Andre Patton,wr,13,5,6,56,0,15,0
MyCole Pruitt,TE,16,10,6,90,1,42,0
Riley Ridley,wr,5,0,6,69,0,32,0
Diontae Spencer,wr,16,2,6,31,0,20,3
Darren Sproles,rb,6,1,6,24,0,7,1
Marcell Ateman,wr,11,0,5,116,0,36,1
Stephen Carlson,te,9,5,5,51,1,21,0
Patrick DiMarco,fb,16,4,5,41,0,27,0
Andy Janovich,fb,7,3,5,42,0,22,0
David Njoku,te,4,1,5,41,1,18,0
Drew Sample,te,9,2,5,30,0,21,0
Devin Smith,wr,4,2,5,113,1,51,0
Spencer Ware,rb,3,1,5,22,0,18,1
Jonathan Williams,rb,9,1,5,59,0,31,0
Cedrick Wilson,wr,6,0,5,46,0,14,0
Nick Bawden,fb,10,2,4,17,0,10,0
Khari Blasingame,fb,6,3,4,54,0,24,0
Antonio Brown,wr,1,0,4,56,1,20,0
Tra Carson,rb,3,1,4,18,0,8,0
Michael Crabtree,wr,2,1,4,22,0,9,0
Ryan Grant,wr,2,1,4,14,0,9,0
Darrell Henderson,rb,13,0,4,37,0,14,0
Rashard Higgins,wr,10,1,4,55,1,35,0
KhaDarel Hodge,wr,16,1,4,76,0,41,0
Tevin Jones,wr,5,0,4,61,0,28,0
Jordan Matthews,wr,3,1,4,33,0,10,0
Donte Moncrief,wr,8,2,4,18,0,11,0
Johnny Mundt,te,13,2,4,26,0,9,0
JJ Nelson,wr,2,1,4,36,1,29,0
Trent Sherfield,wr,16,1,4,80,0,38,0
Lee Smith,te,16,5,4,31,1,9,0
Ross Travis,te,3,1,4,51,0,25,1
Clive Walford,te,7,3,4,57,0,19,0
DeAndrew White,wr,10,0,4,51,0,18,0
Mike Boone,rb,16,2,3,17,0,7,0
Cody Core,wr,16,0,3,28,0,11,0
Geremy Davis,wr,7,1,3,38,0,19,0
Robert Foster,wr,13,2,3,64,0,24,0
Devin Funchess,wr,1,1,3,32,0,16,0
Jon Hilliman,rb,3,1,3,1,0,5,2
Johnny Holton,wr,16,3,3,21,0,18,0
T.J. Jones,wr,3,0,3,38,1,28,3
Lance Kendricks,te,12,1,3,50,0,24,0
Chris Lacy,wr,7,2,3,60,0,48,0
Marqise Lee,wr,6,1,3,18,0,8,0
Chris Moore,wr,14,1,3,21,0,13,0
Stanley Morgan,wr,11,0,3,18,0,9,0
Josh Oliver,te,4,1,3,15,0,6,0
Devine Ozigbo,rb,10,0,3,23,0,12,0
Andre Roberts,wr,13,0,3,20,0,7,1
Russell Shepard,wr,3,0,3,25,0,12,0
Benny Snell,rb,13,2,3,23,0,14,1
Derek Watt,fb,16,2,3,32,0,21,0
Bobo Wilson,wr,6,1,3,35,0,14,3
Jeff Wilson,rb,10,0,3,34,1,25,0
Deon Yelder,te,9,1,3,50,0,24,0
Olamide Zaccheaus,wr,10,0,3,115,1,93,0
Alex Armah,fb,16,1,2,6,0,4,0
Chad Beebe,wr,3,0,2,70,0,61,3
Josh Bellamy,wr,7,0,2,20,0,15,0
Nick Bellore,fb,14,1,2,23,1,20,0
C.J. Board,wr,4,0,2,31,0,23,0
Fred Brown,wr,13,1,2,21,0,16,1
Malcolm Brown,rb,14,1,2,16,0,10,0
Pharaoh Brown,te,9,6,2,27,0,18,0
Deontay Burnett,wr,1,1,2,48,0,41,0
Cethan Carter,fb,15,0,2,13,1,8,0
Robert Davis,wr,6,3,2,17,0,11,0
Ashton Dulin,wr,13,0,2,17,0,13,0
Tyler Ervin,rb,10,0,2,11,0,6,2
Rico Gafford,wr,4,1,2,66,1,49,0
Wes Hills,rb,1,1,2,1,0,2,0
Alexander Hollins,wr,5,1,2,46,0,35,0
Cody Hollister,wr,5,0,2,13,0,11,0
Tanner Hudson,te,9,1,2,26,0,14,0
Ishmael Hyman,wr,2,1,2,34,0,31,0
Darius Jennings,wr,8,0,2,17,0,11,0
T.J. Logan,rb,12,0,2,13,0,11,0
Steven Mitchell,wr,3,1,2,37,0,21,0
Jason Moore,wr,10,0,2,43,0,32,0
Isaac Nauta,te,6,0,2,13,0,10,0
Roosevelt Nix,fb,3,0,2,4,0,4,0
Gunner Olszewski,wr,8,0,2,34,0,29,1
Elijhaa Penny,rb,16,1,2,9,0,9,0
Troymaine Pope,rb,14,0,2,14,1,13,1
Eric Saubert,te,2,0,2,21,0,11,0
Da'Mari Scott,wr,5,2,2,22,0,11,0
Anthony Sherman,fb,16,0,2,22,0,15,0
Scott Simonson,te,5,1,2,11,0,10,0
Cam Sims,wr,7,1,2,27,0,15,0
Mike Thomas,wr,16,0,2,14,0,9,0
Levine Toilolo,te,13,0,2,10,0,8,0
Michael Walker,wr,7,0,2,15,0,9,2
Trevon Wesco,te,16,1,2,47,0,32,0
Zach Zenner,rb,5,0,2,19,0,13,0
Jamal Agnew,cb,13,0,1,-2,0,-2,1
Javorius Allen,rb,10,0,1,9,0,9,0
Antony Auclair,te,8,5,1,11,0,11,0
David Blough,qb,5,5,1,19,1,19,1
